號碼,選區,選民人數,投票率,吳文遠,何志光,毛孟靜,梁美芬,譚國僑,朱韶洪,黃毓民,黃碧雲,林依麗,蔣麗芸,關新偉,劉小麗,游蕙禎,李泳漢,狄志遠,總有效,無效,非建制,建制,其他,得票率差,吳文遠%,何志光%,毛孟靜%,梁美芬%,譚國僑%,朱韶洪%,黃毓民%,黃碧雲%,林依麗%,蔣麗芸%,關新偉%,劉小麗%,游蕙禎%,李泳漢%,狄志遠%
G14*,海心,7720,61.00%,110.665946220384,4.3429108202337,455.861707926639,762.99308296199,97.9139495957421,12.6367122983267,326.963221883027,377.34861956659,7.04088477342622,1333.33043802403,10.9628161800997,566.755643108101,345.977222339451,13.261880804884,190.757458675794,4616.81249517872,92.6012654679527,50.22%,45.64%,4.13%,4.58%,2.40%,0.09%,9.87%,16.53%,2.12%,0.27%,7.08%,8.17%,0.15%,28.88%,0.24%,12.28%,7.49%,0.29%,4.13%
G15,土瓜灣北,5342,51.18%,61,9,236,357,25,7,209,176,9,946,6,293,177,9,94,2614,120,46.33%,50.08%,3.60%,-3.75%,2.33%,0.34%,9.03%,13.66%,0.96%,0.27%,8.00%,6.73%,0.34%,36.19%,0.23%,11.21%,6.77%,0.34%,3.60%
G16,土瓜灣南,5878,53.28%,85,7,358,799,45,6,200,386,5,361,9,416,257,5,141,3080,52,57.47%,37.95%,4.58%,19.51%,2.76%,0.23%,11.62%,25.94%,1.46%,0.19%,6.49%,12.53%,0.16%,11.72%,0.29%,13.51%,8.34%,0.16%,4.58%
G17*,鶴園海逸,7280,61.96%,86.8170904793924,5.18870129676364,589.249374369189,937.0168178407,46.1697764969095,9.01943360084522,251.245252326866,538.604666096939,5.77337357111119,669.864784284011,24.0786516045535,635.013522442394,351.828473636779,8.28013464203401,314.171117888864,4472.32117057735,38.5148591500783,56.51%,36.47%,7.02%,20.04%,1.94%,0.12%,13.18%,20.95%,1.03%,0.20%,5.62%,12.04%,0.13%,14.98%,0.54%,14.20%,7.87%,0.19%,7.02%
G18*,黃埔東,9398,69.58%,117.40288410009,5.76526442484932,801.128008068765,1733.52287805482,83.0416552531634,8.06445950451348,339.097387937918,685.074313622154,12.9789504746585,531.274825101155,17.1745267978939,990.548205101488,752.16088473239,7.94733842853996,406.108071583303,6491.2896531857,47.6623945946238,58.59%,35.15%,6.26%,23.44%,1.81%,0.09%,12.34%,26.71%,1.28%,0.12%,5.22%,10.55%,0.20%,8.18%,0.26%,15.26%,11.59%,0.12%,6.26%
G19*,黃埔西,8844,68.10%,129.987419944111,6.38790274528923,761.995466363884,1451.31125745199,93.1772603462545,10.4773594439384,312.721776066969,593.791626987003,8.55684296873893,603.366748019065,20.0235686463232,965.817163341364,615.68960851236,9.57069711829727,390.519624506775,5973.39432246236,49.5599798122258,58.73%,34.73%,6.54%,24.00%,2.18%,0.11%,12.76%,24.30%,1.56%,0.18%,5.24%,9.94%,0.14%,10.10%,0.34%,16.17%,10.31%,0.16%,6.54%
G20*,紅磡灣,8254,63.76%,131.668526987068,4.70552768598631,612.672042586036,1259.64109866619,105.80266707994,8.39768384070198,304.347230642331,509.515260724139,5.45055523330274,614.027736400771,14.0062465384656,810.902446953815,479.924183217599,11.8502854998736,321.278329481093,5194.18982153731,68.9018286490181,57.47%,36.34%,6.19%,21.13%,2.53%,0.09%,11.80%,24.25%,2.04%,0.16%,5.86%,9.81%,0.10%,11.82%,0.27%,15.61%,9.24%,0.23%,6.19%
G21*,紅磡,5111,50.95%,52.8674295741341,1.76412655968293,220.905620094752,521.496398744156,98.7125176471053,4.14118093986813,217.840399970131,196.428945181302,2.36057007611856,618.4169182949,6.54765259882219,311.356376383944,203.794667679907,9.55522293052699,86.0875521375849,2552.27557881294,51.9329501223627,51.71%,44.92%,3.37%,6.79%,2.07%,0.07%,8.66%,20.43%,3.87%,0.16%,8.54%,7.70%,0.09%,24.23%,0.26%,12.20%,7.98%,0.37%,3.37%
G22*,家維,10442,57.41%,155.256648915204,13.1884772874286,638.049488517375,1182.01154924214,124.096123176627,17.8998826701328,514.747953055785,581.585187388462,10.8797076760701,1011.0489879001,16.1693538139416,844.362285776996,495.602182220964,19.7963213807282,262.83530440238,5887.52945342433,107.427987671691,58.01%,37.52%,4.46%,20.49%,2.64%,0.22%,10.84%,20.08%,2.11%,0.30%,8.74%,9.88%,0.18%,17.17%,0.27%,14.34%,8.42%,0.34%,4.46%
G23*,愛民,8904,57.58%,102.815421624645,8.20097374164194,593.457067172407,955.216616515775,61.7257242758219,14.0054594284185,439.516866984214,691.185924960674,9.14985785176919,935.376221453989,16.6868235838721,628.429773496085,393.183632220844,18.2209191458848,172.043787682363,5039.2150701384,87.6546259092541,58.74%,37.85%,3.41%,20.89%,2.04%,0.16%,11.78%,18.96%,1.22%,0.28%,8.72%,13.72%,0.18%,18.56%,0.33%,12.47%,7.80%,0.36%,3.41%
G24*,愛俊,9221,56.56%,104.184578375355,7.79902625835807,607.542932827593,978.783383484226,64.2742757241781,13.9945405715815,443.483133015786,704.814075039326,8.85014214823081,933.623778546012,17.3131764161279,645.570226503915,398.816367779156,18.7790808541152,180.956212317637,5128.7849298616,86.3453740907459,58.85%,37.63%,3.53%,21.22%,2.03%,0.15%,11.85%,19.08%,1.25%,0.27%,8.65%,13.74%,0.17%,18.20%,0.34%,12.59%,7.78%,0.37%,3.53%
Misplaced,入錯票箱,N/A,N/A,0,0,8,10,3,0,0,1,0,8,2,6,0,0,5,43,-43,,,,,,,,,,,,,,,,,,,
